id;word;polarity;joy;fear;sadness;anger;surprise;disgust
1;à ce endroit là;positive;0;0;0;0;0;0
2;à le hâte;negative;0;1;0;0;1;0
3;à part;negative;0;0;1;0;0;0
4;à pic;negative;0;1;0;0;0;0
5;à rallonge;negative;0;0;1;0;0;0
6;abasourdir;negative;0;0;0;0;1;0
7;ablation;negative;0;1;0;0;0;1
8;abominable;negative;0;1;0;0;0;1
9;abrupt;negative;0;1;0;0;0;0
10;absent;negative;0;1;1;0;0;0
11;absorber;positive;0;0;0;0;1;0
12;absurde;negative;0;0;0;1;1;1
13;acceptable;positive;0;0;0;0;0;0
14;accidentel;negative;0;1;1;0;1;0
15;accusateur;negative;0;1;0;1;0;1
16;accuser;negative;0;1;1;1;0;1
17;acheteur;positive;0;0;0;0;0;0
18;acquisition;positive;0;0;0;0;0;0
19;active;positive;0;0;0;0;0;0
20;actuel;positive;0;0;0;0;1;0
21;addition;positive;0;0;0;0;0;0
22;adhésif;positive;0;0;0;0;0;1
23;administration;positive;0;0;0;0;0;0
24;administratif;positive;0;0;0;0;0;0
25;administrateur;positive;0;0;0;0;0;0
26;admirateur;positive;0;0;0;0;0;0
27;admissible;positive;0;0;0;0;0;0
28;adolescent;positive;0;0;0;0;0;0
29;aérien;positive;0;1;0;0;0;0
30;affable;positive;0;0;0;0;0;0
31;affaire;positive;0;0;0;0;0;0
32;affectueux;positive;0;0;0;0;0;0
33;affirmative;positive;0;0;0;0;0;0
34;affliger;negative;0;1;1;0;0;0
35;affreux;negative;0;1;1;1;1;1
36;agent de conservation;positive;0;0;0;0;1;0
37;agent de police;positive;0;1;0;0;0;0
38;agrafe;positive;0;0;0;0;0;0
39;agréable;positive;0;0;0;0;0;0
40;agressif;negative;0;1;0;1;0;0
41;agriculteur;positive;0;0;0;0;0;0
42;aiguiser;positive;0;1;0;1;0;0
43;aimer;positive;0;0;0;0;0;0
44;aîné;positive;0;0;0;0;0;0
45;aisément;positive;0;0;0;0;0;0
46;alcalin;positive;0;0;0;0;0;0
47;alentour;positive;0;0;0;0;0;0
48;allonger;negative;0;1;1;1;0;1
49;allure;positive;0;0;0;0;0;0
50;allusion;negative;0;1;0;1;1;0
51;alternative;positive;0;0;0;0;0;0
52;amas;negative;0;0;0;0;0;0
53;amatrice;negative;0;0;0;0;0;0
54;ambassadrice;positive;0;0;0;0;0;0
55;ambitieux;positive;0;0;0;0;0;0
56;amélioration;positive;0;0;0;0;0;0
57;ami;positive;0;0;0;0;0;0
58;amourette;negative;0;0;0;0;0;0
59;analyse;positive;0;0;0;0;0;0
60;ancien;negative;0;0;0;0;0;0
61;ancien élève;positive;0;0;0;0;0;0
62;anguleux;positive;0;0;0;0;0;0
63;animal;negative;0;1;0;0;0;1
64;annuel;positive;0;0;0;0;0;0
65;anticipatif;positive;0;0;0;0;0;0
66;anxieux;negative;0;1;0;0;0;0
67;apathique;negative;0;1;1;0;0;0
68;apparenter;positive;0;0;0;0;0;0
69;apprenant;positive;0;0;0;0;0;0
70;apprenti;positive;0;0;0;0;0;0
71;approbation;positive;0;0;0;0;0;0
72;approbateur;positive;0;0;0;0;0;0
73;approcher;positive;0;0;0;0;0;0
74;approprier;positive;0;0;0;0;0;0
75;approximatif;positive;0;0;0;0;0;0
76;appui;positive;0;0;0;0;0;0
77;aqueux;negative;0;0;0;0;0;1
78;ardent;positive;0;0;0;0;1;0
79;arête;negative;0;1;0;0;0;0
80;aride;negative;0;1;1;0;0;0
81;armature;positive;0;0;0;0;0;0
82;arnaqueur;negative;0;1;0;1;0;1
83;arrondissement;positive;0;0;0;0;0;0
84;artisane;positive;0;0;0;0;0;0
85;asile;positive;0;0;0;0;0;0
86;asphyxie;negative;0;1;0;1;0;0
87;aspiration;positive;0;0;0;0;0;0
88;assaillant;negative;0;1;1;1;0;0
